timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,defaultbase,imagebase,imagesize,cycletime,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 18:41:03.960505000Z","2025-10-27 18:41:03.9605094Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8436 EDRi.exe",,,,,,"++ EDRi START MARKER ++",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:04.969512900Z","2025-10-27 18:41:04.9695160Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8436 EDRi.exe",,,,,,"Before decrypting the attack exe from C:\Users\hacker\source\repos\EDR-Introspection\x64\Release\attacks\Injector.exe.enc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:04.971781900Z","2025-10-27 18:41:04.9717843Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8436 EDRi.exe",,,,,,"After decrypting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.985669000Z","2025-10-27 18:41:05.9856717Z","myETW","EDRi-Provider",4242,"EDRi-Event"," 8436 EDRi.exe",,,,,,"Before starting the attack exe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:07.0827677Z","2025-10-27 18:41:07.0827677Z","ETW","Microsoft-Windows-Kernel-Process",1,"ProcessStartStart "," 8436 EDRi.exe",7820,,,"10936 attack-446.exe",,,"C:\Users\Public\Downloads\attack-446.exe",,,,,,,,,134060640670826743,0,0,"0x","","",8436,3309,3313,2,1,0,1,1761550891,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:07.086297400Z","2025-10-27 18:41:07.0863006Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,,"10936 attack-446.exe",,"NtOpenProcess with 0x600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:07.086311400Z","2025-10-27 18:41:07.0863119Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,,"10936 attack-446.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:07.086641000Z","2025-10-27 18:41:07.0866422Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,,"10936 attack-446.exe",,"NtOpenProcess with 0x1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:07.086673900Z","2025-10-27 18:41:07.0866751Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,,"10936 attack-446.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:07.0871259Z","2025-10-27 18:41:07.0871259Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 8436 EDRi.exe",7820,,,"10936 attack-446.exe",,,,,,,,,,,,,,,,,,,,,,,,,,18446692455362088960,18446692455362064384,140694878308096,0,515133751296,1304,515134980096,515134976000,140694878308096,,,,,,,,,,,,,,,,
"2025-10-27 18:41:07.0988814Z","2025-10-27 18:41:07.0988814Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","10936 attack-446.exe",1304,,,"10936 attack-446.exe",,,"C:\Users\Public\Downloads\attack-446.exe",,,,,,,,,,,0,,,,,,,,,,,1761550891,,,,,,,,,,140694878289920,140694878289920,57344,,,,,,,,,,,,,
"2025-10-27 18:41:07.0989406Z","2025-10-27 18:41:07.0989406Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo ","10936 attack-446.exe",1304,,,"10936 attack-446.exe",,,"C:\Windows\System32\ntdll.dll",,,,,,,,,,,2538757,,,,,,,,,,,592187216,,,,,,,,,,140721973100544,140721973100544,2523136,,,,,,,,,,,,,
